S.No,Trigram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
1,ARM and barrel,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.568201724066995,0.15682017240669952,No,"['NN', 'CC', 'NN']"
2,and barrel shifter,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.568201724066995,0.15682017240669952,No,"['CC', 'NN', 'NN']"
3,barrel shifter clock,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.568201724066995,0.15682017240669952,No,"['NN', 'NN', 'NN']"
4,shifter clock cycles,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.568201724066995,0.15682017240669952,No,"['NN', 'NN', 'NNS']"
5,clock cycles floating,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.568201724066995,0.15682017240669952,No,"['NN', 'NNS', 'VBG']"
6,cycles floating point,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.568201724066995,0.15682017240669952,No,"['NNS', 'VBG', 'NN']"
7,floating point representation,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.2671717284030137,0.12671717284030137,No,"['VBG', 'NN', 'NN']"
8,point representation in,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.2671717284030137,0.12671717284030137,No,"['NN', 'NN', 'IN']"
9,representation in IEEE,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.568201724066995,0.15682017240669952,No,"['NN', 'IN', 'NNP']"
10,in IEEE 754,0 0 0,"['query', 'body', 'statement', 'word']",{},0.1,1.2671717284030137,0.12671717284030137,No,"['IN', 'NNP', 'CD']"
